32,31
53,68
61,62
47,71
59,87
55,78
52,79
39,59
48,75
52,71
45,55
54,82
44,62
58,75
56,81
48,60
44,82
60,97
45,48
38,56
66,83
65,118
47,57
41,51
51,75
59,74
57,95
63,95
46,79
50,83
52,63
35,41
42,76
58,96
57,74
45,66
61,77
33,50
36,62
37,60
44,52
43,58
50,82
43,61
62,115
32,45
40,54
53,87
33,52
64,93
38,80
44,65
40,65
41,65
51,73
55,71
41,79
62,86
49,84
41,59
41,61
50,69
52,86
50,59
33,69
39,44
56,85
57,95
60,70
35,52
31,50
53,63
46,72
43,57
70,104
44,86
57,91
36,55
55,79
38,44
56,80
56,83
34,55
59,77
57,99
54,79
51,69
50,69
44,73
38,61
32,67
53,85
68,114
46,90
68,97
50,81
49,72
50,85
48,66
25,53
